,batch,epochs,lr,out_loss_per_epoch,out_accuracy_val_set
0,10000,2,0.001,"[0.7012031, 0.6110025]",0.3916
1,10000,2,0.005,"[0.6593638, 0.47327492]",0.0
2,10000,2,0.01,"[0.5558378, 0.43403438]",0.0
3,10000,2,0.05,"[0.43656394, 0.36832568]",0.0
4,10000,2,0.1,"[0.45980695, 0.40965036]",0.0
5,10000,2,0.2,"[0.46542376, 0.41065958]",0.0
6,5000,2,0.001,"[0.77526397, 0.61617744]",0.059114285714285716
7,5000,2,0.005,"[0.47342753, 0.3832851]",0.0
8,5000,2,0.01,"[0.44703895, 0.36715412]",0.0
9,5000,2,0.05,"[0.41882426, 0.36030576]",0.0
10,5000,2,0.1,,
11,5000,2,0.2,,
12,1000,2,0.001,,
13,1000,2,0.005,,
14,1000,2,0.01,,
15,1000,2,0.05,,
16,1000,2,0.1,,
17,1000,2,0.2,,
18,500,2,0.001,,
19,500,2,0.005,,
20,500,2,0.01,,
21,500,2,0.05,,
22,500,2,0.1,,
23,500,2,0.2,,
24,100,2,0.001,,
25,100,2,0.005,,
26,100,2,0.01,,
27,100,2,0.05,,
28,100,2,0.1,,
29,100,2,0.2,,
30,10000,500,0.001,,
31,10000,500,0.005,,
32,10000,500,0.01,,
33,10000,500,0.05,,
34,10000,500,0.1,,
35,10000,500,0.2,,
36,5000,500,0.001,,
37,5000,500,0.005,,
38,5000,500,0.01,,
39,5000,500,0.05,,
40,5000,500,0.1,,
41,5000,500,0.2,,
42,1000,500,0.001,,
43,1000,500,0.005,,
44,1000,500,0.01,,
45,1000,500,0.05,,
46,1000,500,0.1,,
47,1000,500,0.2,,
48,500,500,0.001,,
49,500,500,0.005,,
50,500,500,0.01,,
51,500,500,0.05,,
52,500,500,0.1,,
53,500,500,0.2,,
54,100,500,0.001,,
55,100,500,0.005,,
56,100,500,0.01,,
57,100,500,0.05,,
58,100,500,0.1,,
59,100,500,0.2,,
60,10000,1000,0.001,,
61,10000,1000,0.005,,
62,10000,1000,0.01,,
63,10000,1000,0.05,,
64,10000,1000,0.1,,
65,10000,1000,0.2,,
66,5000,1000,0.001,,
67,5000,1000,0.005,,
68,5000,1000,0.01,,
69,5000,1000,0.05,,
70,5000,1000,0.1,,
71,5000,1000,0.2,,
72,1000,1000,0.001,,
73,1000,1000,0.005,,
74,1000,1000,0.01,,
75,1000,1000,0.05,,
76,1000,1000,0.1,,
77,1000,1000,0.2,,
78,500,1000,0.001,,
79,500,1000,0.005,,
80,500,1000,0.01,,
81,500,1000,0.05,,
82,500,1000,0.1,,
83,500,1000,0.2,,
84,100,1000,0.001,,
85,100,1000,0.005,,
86,100,1000,0.01,,
87,100,1000,0.05,,
88,100,1000,0.1,,
89,100,1000,0.2,,
